epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.4131,0.68383,0.24201,1,0.89294,0.000237201,0.000237201,0.000237201
2,26.1881,0.6448,0.46575,1,0.80036,0.000470497,0.000470497,0.000470497
3,37.9541,0.62246,0.34703,1,0.91667,0.00069908,0.00069908,0.00069908
4,49.5811,0.60992,0.55251,1,0.77338,0.000692794,0.000692794,0.000692794
5,61.2069,0.59019,0.46119,1,0.75308,0.000685726,0.000685726,0.000685726
6,72.8484,0.58213,0.61187,1,0.67524,0.000678657,0.000678657,0.000678657
7,84.4461,0.51829,0.38356,1,1.03396,0.000671588,0.000671588,0.000671588
8,96.2142,0.49523,0.46119,1,0.87359,0.00066452,0.00066452,0.00066452
9,108.056,0.41735,0.29224,1,1.41234,0.000657451,0.000657451,0.000657451
10,119.747,0.38602,0.33333,1,1.50922,0.000650383,0.000650383,0.000650383
11,131.466,0.46121,0.85388,1,0.35177,0.000643314,0.000643314,0.000643314
12,143.1,0.37806,0.81735,1,0.37994,0.000636245,0.000636245,0.000636245
13,154.799,0.44005,0.32877,1,1.2164,0.000629177,0.000629177,0.000629177
14,166.522,0.36337,0.71689,1,0.51059,0.000622108,0.000622108,0.000622108
15,178.275,0.33401,0.84932,1,0.33143,0.00061504,0.00061504,0.00061504
16,190.183,0.35638,0.84475,1,0.33146,0.000607971,0.000607971,0.000607971
17,201.9,0.29166,0.60274,1,0.81453,0.000600902,0.000600902,0.000600902
18,213.629,0.25244,0.6895,1,0.60266,0.000593834,0.000593834,0.000593834
19,225.243,0.18126,0.60274,1,0.86695,0.000586765,0.000586765,0.000586765
20,236.996,0.15045,0.85845,1,0.29879,0.000579697,0.000579697,0.000579697
21,248.642,0.09912,0.87671,1,0.25894,0.000572628,0.000572628,0.000572628
22,260.317,0.17901,0.6758,1,0.64981,0.000565559,0.000565559,0.000565559
23,272.062,0.3042,0.42009,1,1.80485,0.000558491,0.000558491,0.000558491
24,283.835,0.34637,0.92694,1,0.228,0.000551422,0.000551422,0.000551422
25,295.347,0.30618,0.69863,1,0.72274,0.000544354,0.000544354,0.000544354
26,306.967,0.20233,0.93151,1,0.19312,0.000537285,0.000537285,0.000537285
27,318.787,0.19345,0.6621,1,0.83089,0.000530216,0.000530216,0.000530216
28,330.568,0.11591,0.87671,1,0.26111,0.000523148,0.000523148,0.000523148
29,342.309,0.0795,0.82192,1,0.34932,0.000516079,0.000516079,0.000516079
30,354.061,0.08523,0.71689,1,0.67592,0.000509011,0.000509011,0.000509011
31,365.725,0.08119,0.75799,1,0.50024,0.000501942,0.000501942,0.000501942
32,377.359,0.11333,0.80365,1,0.49978,0.000494873,0.000494873,0.000494873
33,388.987,0.07592,0.76712,1,0.49597,0.000487805,0.000487805,0.000487805
34,400.624,0.11177,0.68493,1,0.773,0.000480736,0.000480736,0.000480736
35,412.27,0.06669,0.58447,1,1.45375,0.000473668,0.000473668,0.000473668
36,424.105,0.05257,0.71233,1,0.56724,0.000466599,0.000466599,0.000466599
37,435.775,0.09083,0.88128,1,0.355,0.00045953,0.00045953,0.00045953
38,447.498,0.05434,0.63927,1,1.03482,0.000452462,0.000452462,0.000452462
39,459.343,0.07747,0.77626,1,0.5114,0.000445393,0.000445393,0.000445393
40,470.799,0.0662,0.78995,1,0.67399,0.000438325,0.000438325,0.000438325
41,482.4,0.09931,0.63927,1,1.00069,0.000431256,0.000431256,0.000431256
42,493.981,0.07644,0.87215,1,0.3568,0.000424187,0.000424187,0.000424187
43,505.586,0.06688,0.82648,1,0.41583,0.000417119,0.000417119,0.000417119
44,517.143,0.05537,0.87671,1,0.25777,0.00041005,0.00041005,0.00041005
45,528.699,0.0819,0.90868,1,0.17221,0.000402982,0.000402982,0.000402982
46,540.245,0.04191,0.85388,1,0.37485,0.000395913,0.000395913,0.000395913
47,551.787,0.17021,0.9726,1,0.07538,0.000388844,0.000388844,0.000388844
48,563.339,0.04283,0.76256,1,0.6484,0.000381776,0.000381776,0.000381776
49,574.95,0.10191,0.97717,1,0.08393,0.000374707,0.000374707,0.000374707
50,586.443,0.07801,0.91324,1,0.22849,0.000367639,0.000367639,0.000367639
51,597.931,0.06009,0.94064,1,0.16414,0.00036057,0.00036057,0.00036057
52,609.504,0.0457,0.93151,1,0.17403,0.000353501,0.000353501,0.000353501
53,621.184,0.04377,0.80365,1,0.36187,0.000346433,0.000346433,0.000346433
54,632.774,0.02301,0.89954,1,0.20087,0.000339364,0.000339364,0.000339364
55,644.645,0.03331,0.78539,1,0.44897,0.000332296,0.000332296,0.000332296
56,656.61,0.01487,0.87671,1,0.34007,0.000325227,0.000325227,0.000325227
57,668.342,0.05147,0.73516,1,0.86468,0.000318158,0.000318158,0.000318158
58,679.909,0.05257,0.89041,1,0.25612,0.00031109,0.00031109,0.00031109
59,691.726,0.05498,0.77626,1,0.70353,0.000304021,0.000304021,0.000304021
60,703.273,0.04977,0.81735,1,0.47761,0.000296953,0.000296953,0.000296953
61,714.846,0.1111,0.84475,1,0.41406,0.000289884,0.000289884,0.000289884
62,726.71,0.0577,0.74429,1,0.72482,0.000282815,0.000282815,0.000282815
63,738.375,0.04863,0.89954,1,0.31339,0.000275747,0.000275747,0.000275747
64,749.957,0.11291,0.82648,1,0.44743,0.000268678,0.000268678,0.000268678
65,761.545,0.20426,0.69406,1,1.10398,0.00026161,0.00026161,0.00026161
66,773.257,0.05778,0.9726,1,0.15274,0.000254541,0.000254541,0.000254541
67,785.08,0.04399,0.76712,1,0.6371,0.000247472,0.000247472,0.000247472
68,796.726,0.05116,0.86301,1,0.38145,0.000240404,0.000240404,0.000240404
69,808.247,0.01439,0.92694,1,0.20968,0.000233335,0.000233335,0.000233335
70,819.782,0.01015,0.87671,1,0.2707,0.000226267,0.000226267,0.000226267
71,831.799,0.03917,0.84475,1,0.36016,0.000219198,0.000219198,0.000219198
72,843.532,0.01085,0.81735,1,0.42109,0.000212129,0.000212129,0.000212129
73,855.191,0.0148,0.89041,1,0.20764,0.000205061,0.000205061,0.000205061
74,866.681,0.06824,0.94977,1,0.14133,0.000197992,0.000197992,0.000197992
75,878.346,0.01693,0.79909,1,0.53434,0.000190924,0.000190924,0.000190924
76,889.796,0.01802,0.90868,1,0.25056,0.000183855,0.000183855,0.000183855
77,901.361,0.0347,0.95434,1,0.15422,0.000176786,0.000176786,0.000176786
78,912.901,0.00598,0.94064,1,0.15815,0.000169718,0.000169718,0.000169718
79,924.332,0.0075,0.95434,1,0.13083,0.000162649,0.000162649,0.000162649
80,935.961,0.0222,0.92237,1,0.20113,0.000155581,0.000155581,0.000155581
81,947.629,0.01372,0.92237,1,0.18909,0.000148512,0.000148512,0.000148512
82,959.279,0.03729,0.90868,1,0.22506,0.000141443,0.000141443,0.000141443
