epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.6944,0.71325,0.83562,1,0.51668,0.000234827,0.000234827,0.000234827
2,28.3614,0.62142,0.84018,1,0.54072,0.000468146,0.000468146,0.000468146
3,39.8715,0.59162,0.85388,1,0.41176,0.000696752,0.000696752,0.000696752
4,51.3663,0.58282,0.89498,1,0.28983,0.000692794,0.000692794,0.000692794
5,62.9172,0.57584,0.90868,1,0.33145,0.000685726,0.000685726,0.000685726
6,74.2563,0.52103,0.73516,1,0.5214,0.000678657,0.000678657,0.000678657
7,85.6108,0.55189,0.88128,1,0.26755,0.000671588,0.000671588,0.000671588
8,97.0145,0.45623,0.94521,1,0.16185,0.00066452,0.00066452,0.00066452
9,108.642,0.43712,0.93151,1,0.18944,0.000657451,0.000657451,0.000657451
10,120.409,0.42953,0.89041,1,0.29495,0.000650383,0.000650383,0.000650383
11,132.141,0.43531,0.94521,1,0.17143,0.000643314,0.000643314,0.000643314
12,143.975,0.39639,0.96347,1,0.11901,0.000636245,0.000636245,0.000636245
13,155.608,0.40944,0.91324,1,0.25905,0.000629177,0.000629177,0.000629177
14,167.491,0.40373,0.9589,1,0.12415,0.000622108,0.000622108,0.000622108
15,179.358,0.34666,0.94064,1,0.17758,0.00061504,0.00061504,0.00061504
16,191.05,0.35953,0.97717,1,0.06892,0.000607971,0.000607971,0.000607971
17,202.94,0.3472,0.9863,1,0.06879,0.000600902,0.000600902,0.000600902
18,214.761,0.30226,1,1,0.05493,0.000593834,0.000593834,0.000593834
19,226.74,0.2638,0.99087,1,0.04537,0.000586765,0.000586765,0.000586765
20,238.653,0.27626,0.99087,1,0.0404,0.000579697,0.000579697,0.000579697
21,250.789,0.28578,0.96804,1,0.08328,0.000572628,0.000572628,0.000572628
22,263.079,0.26224,0.94977,1,0.12651,0.000565559,0.000565559,0.000565559
